,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
76,17,qtls_li_hq,0.05,Pairwise,0.6464160425076039,0.07105014336377805,10005,1027.1158874511718,1018
77,18,qtls_li_hq,0.05,Pairwise,0.6587580453201832,0.06708299525645678,10004,1098.1581298828125,1044
78,19,qtls_li_hq,0.075,Pairwise,0.6659350392111089,0.0630949932337778,10003,1561.015869140625,1488
79,20,qtls_li_hq,0.075,Pairwise,0.6638244565379948,0.06293386350207017,10002,1477.54599609375,1436
80,21,qtls_li_hq,0.075,Pairwise,0.6644953426773935,0.06139372246645523,10004,1611.12333984375,1509
81,22,qtls_li_hq,0.1,Pairwise,0.6845376737995458,0.058828509014223415,10001,2137.25751953125,1989
82,23,qtls_li_hq,0.1,Pairwise,0.676827736779062,0.06140201737144709,10004,2096.226220703125,1945
83,24,qtls_li_hq,0.1,Pairwise,0.6682241763405194,0.06297983668808206,10001,2157.59296875,1998
84,25,qtls_li_hq,0.125,Pairwise,0.6759712119769625,0.05998954671617358,10004,2714.270361328125,2450
85,26,qtls_li_hq,0.125,Pairwise,0.6885984739161377,0.06082041304870925,10002,2680.8484375,2501
86,27,qtls_li_hq,0.125,Pairwise,0.6721707591710244,0.06392581888404116,10003,2621.706396484375,2452
87,28,qtls_li_hq,0.15,Pairwise,0.6837302070942128,0.061823960728715426,10002,3178.793701171875,2907
88,29,qtls_li_hq,0.15,Pairwise,0.683335422757184,0.058756788682972086,10002,3160.676513671875,2902
89,30,qtls_li_hq,0.15,Pairwise,0.6817421072156458,0.05897566033385131,10005,3190.810498046875,2938
90,31,qtls_li_hq,0.175,Pairwise,0.6824545742822891,0.058371439627914086,10003,3805.806689453125,3414
91,32,qtls_li_hq,0.175,Pairwise,0.6867163642864061,0.058204099679904794,10003,3769.34375,3468
92,33,qtls_li_hq,0.175,Pairwise,0.6778366809978384,0.059915495463806166,10003,3849.137255859375,3509
93,34,qtls_li_hq,0.2,Pairwise,0.6800577033337738,0.060892545357482876,10003,4329.78125,3990
94,35,qtls_li_hq,0.2,Pairwise,0.6860601543263299,0.058716474483935216,10000,4425.27568359375,4002
95,36,qtls_li_hq,0.2,Pairwise,0.6849579969679518,0.05901308184118401,10004,4337.147021484375,3948
96,37,qtls_li_hq,0.25,Pairwise,0.6868568569821739,0.05916722155362422,10002,5371.53388671875,4939
97,38,qtls_li_hq,0.25,Pairwise,0.6855794177596978,0.058743794316382075,10002,5409.0076171875,4894
98,39,qtls_li_hq,0.25,Pairwise,0.676348234015184,0.06110979810146363,10004,5497.066796875,4975
99,40,qtls_li_hq,0.3,Pairwise,0.6820524370350294,0.05940829442406228,10002,6551.93955078125,5903
100,41,qtls_li_hq,0.3,Pairwise,0.6831914671726771,0.05977804012530671,10002,6522.2513671875,5904
101,42,qtls_li_hq,0.3,Pairwise,0.6911458522945909,0.05889383635762465,10003,6695.16953125,6002
102,43,qtls_li_hq,0.4,Pairwise,0.6909304829125289,0.05958450727264488,10005,8759.26513671875,7907
103,44,qtls_li_hq,0.4,Pairwise,0.6885222409463522,0.058540379793579164,10001,8871.92705078125,7943
104,45,qtls_li_hq,0.4,Pairwise,0.6870080191533832,0.06123641862078096,10002,8741.058984375,7941
105,46,qtls_li_hq,0.5,Pairwise,0.6891731709194535,0.05736776224496463,9949,11223.1787109375,9887
106,47,qtls_li_hq,0.5,Pairwise,0.6905605656456418,0.05907740258286648,9971,11045.0826171875,9864
107,48,qtls_li_hq,0.5,Pairwise,0.6817939200012743,0.059630314710988556,10002,11080.2728515625,9826
108,49,qtls_li_hq,0.6,Pairwise,0.6871262642185259,0.05796067442118711,7989,13409.8876953125,11844
109,50,qtls_li_hq,0.6,Pairwise,0.6970905118142536,0.05828529652217971,8022,13248.318359375,11813
110,51,qtls_li_hq,0.6,Pairwise,0.6906819991179782,0.059554640367886845,8030,13243.1341796875,11807
111,52,qtls_li_hq,0.7,Pairwise,0.6876305296956512,0.0584118330145491,5971,15683.5203125,13863
112,53,qtls_li_hq,0.7,Pairwise,0.6770453342409886,0.05998056752279442,5864,15692.807421875,13971
113,54,qtls_li_hq,0.7,Pairwise,0.6916024673563181,0.05858873126542171,5918,15734.73046875,13917
114,55,qtls_li_hq,0.8,Pairwise,0.6871300002774825,0.059648841677818,4011,17953.5556640625,15824
115,56,qtls_li_hq,0.8,Pairwise,0.6773537797593601,0.059928523466963486,3978,17998.16171875,15856
116,57,qtls_li_hq,0.8,Pairwise,0.6989771505300029,0.056707420513945166,3993,17947.45859375,15841
117,58,qtls_li_hq,0.9,Pairwise,0.6952101611956581,0.05898737740323364,2004,20361.317578125,17830
118,59,qtls_li_hq,0.9,Pairwise,0.6656968439365477,0.060041674493957184,1917,20499.2890625,17917
119,60,qtls_li_hq,0.9,Pairwise,0.6842218642331607,0.05984549111504184,2008,20223.412109375,17828
120,1,qtls_li_hq,0.001,Exponential,0.040479571330959266,0.12221558386398378,10001,19.26690330505371,23
121,2,qtls_li_hq,0.001,Exponential,0.03659467460363566,0.1248019708251298,10004,8.633935737609864,13
122,3,qtls_li_hq,0.001,Exponential,0.008725746754872839,0.1236344949024111,10001,15.26226348876953,20
123,4,qtls_li_hq,0.0025,Exponential,0.06177377137366852,0.1307696887087255,10002,50.90065231323242,49
124,5,qtls_li_hq,0.0025,Exponential,0.07909393914340503,0.13164405667513907,10002,41.21911697387695,47
125,6,qtls_li_hq,0.0025,Exponential,0.13221693901572826,0.10596464870256733,10001,44.30343170166016,56
126,7,qtls_li_hq,0.005,Exponential,0.32092399331434623,0.1114862748791106,10004,92.69110717773438,113
127,8,qtls_li_hq,0.005,Exponential,0.1912083533617718,0.12007014163321722,10003,87.11153106689453,105
128,9,qtls_li_hq,0.005,Exponential,0.21242120028483058,0.11883651493731419,10002,85.0911636352539,103
129,10,qtls_li_hq,0.01,Exponential,0.31525040459277115,0.11145656377850764,10002,175.77979736328126,195
130,11,qtls_li_hq,0.01,Exponential,0.29800638632445076,0.11270364758184225,10003,185.06122131347655,205
131,12,qtls_li_hq,0.01,Exponential,0.2678376591761399,0.11413599049775076,10004,205.92356567382814,213
132,13,qtls_li_hq,0.025,Exponential,0.5912413018949996,0.08191518111883192,10002,475.0636474609375,481
133,14,qtls_li_hq,0.025,Exponential,0.5777202644720345,0.0818615189091648,10003,448.715966796875,466
134,15,qtls_li_hq,0.025,Exponential,0.6009644747563118,0.07552939673078365,10002,464.3654846191406,498
135,16,qtls_li_hq,0.05,Exponential,0.6647233463453212,0.06368718731151801,10005,1030.3778564453125,1036
136,17,qtls_li_hq,0.05,Exponential,0.6531844327809766,0.06983368157166818,10005,1021.8214294433594,1018
137,18,qtls_li_hq,0.05,Exponential,0.6608574519004413,0.06713035751739357,10004,1099.849462890625,1044
138,19,qtls_li_hq,0.075,Exponential,0.6678383272415159,0.06302914577177395,10003,1568.7755126953125,1488
139,20,qtls_li_hq,0.075,Exponential,0.6647781031512989,0.0626696194876729,10002,1489.090380859375,1436
140,21,qtls_li_hq,0.075,Exponential,0.6621696332647403,0.06225081174968466,10004,1575.298828125,1509
141,22,qtls_li_hq,0.1,Exponential,0.6851382009498146,0.05871717801789406,10001,2092.3791748046874,1989
142,23,qtls_li_hq,0.1,Exponential,0.6798359109093389,0.06134598544476241,10004,2005.4425537109375,1945
143,24,qtls_li_hq,0.1,Exponential,0.6683602285349322,0.06287575092748346,10001,2078.52744140625,1998
144,25,qtls_li_hq,0.125,Exponential,0.6772661352740561,0.05971932595025294,10004,2525.487890625,2450
145,26,qtls_li_hq,0.125,Exponential,0.6890502194434351,0.06067694594255309,10002,2528.67509765625,2501
146,27,qtls_li_hq,0.125,Exponential,0.6748087561456098,0.06349029279837996,10003,2544.068212890625,2452
147,28,qtls_li_hq,0.15,Exponential,0.6844019306287601,0.06208404926237963,10002,2996.971826171875,2907
148,29,qtls_li_hq,0.15,Exponential,0.6836759932744346,0.0591199884322897,10002,2996.765771484375,2902
149,30,qtls_li_hq,0.15,Exponential,0.6832566497920881,0.05882616107538575,10005,2938.0146484375,2938
150,31,qtls_li_hq,0.175,Exponential,0.6857900124636767,0.057873953805398726,10003,3718.590380859375,3414
151,32,qtls_li_hq,0.175,Exponential,0.6861376365529526,0.058404246344512745,10003,3703.795849609375,3468
152,33,qtls_li_hq,0.175,Exponential,0.6784543504932627,0.05969360625445578,10003,3802.897021484375,3509
153,34,qtls_li_hq,0.2,Exponential,0.6794555607020877,0.06056477341290397,10003,4069.1909912109377,3990
154,35,qtls_li_hq,0.2,Exponential,0.6871173360546211,0.05854791693555705,10000,4352.639453125,4002
155,36,qtls_li_hq,0.2,Exponential,0.6873235826770004,0.05911159260911518,10004,4248.87919921875,3948
156,37,qtls_li_hq,0.25,Exponential,0.6915859889910014,0.058788602268002,10002,5194.39697265625,4939
157,38,qtls_li_hq,0.25,Exponential,0.6861447330978636,0.05849568687742317,10002,4375.5171875,4894
158,39,qtls_li_hq,0.25,Exponential,0.6788934737834315,0.06015865404738706,10004,5079.2974609375,4975
159,40,qtls_li_hq,0.3,Exponential,0.68464626102949,0.059061392692043475,10002,4989.4416015625,5903
160,41,qtls_li_hq,0.3,Exponential,0.6837437736363219,0.05964244758410887,10002,4982.93994140625,5904
161,42,qtls_li_hq,0.3,Exponential,0.6935469075465701,0.05866691451841829,10003,5638.71142578125,6002
162,43,qtls_li_hq,0.4,Exponential,0.689818856406637,0.05993196373445448,10005,6676.6501953125,7907
163,44,qtls_li_hq,0.4,Exponential,0.689105206672291,0.05852766187546268,10001,7393.5703125,7943
164,45,qtls_li_hq,0.4,Exponential,0.6901115459882929,0.061034692718185825,10002,7482.36865234375,7941
165,46,qtls_li_hq,0.5,Exponential,0.6898313250965646,0.056961212155165426,9949,8682.9888671875,9887
166,47,qtls_li_hq,0.5,Exponential,0.6992238245971597,0.05740726692553311,9971,10895.375390625,9864
167,48,qtls_li_hq,0.5,Exponential,0.6803368596570414,0.059240960449328875,10002,8510.269140625,9826
168,49,qtls_li_hq,0.6,Exponential,0.6963400385174651,0.05540315077351084,7989,10433.0765625,11844
169,50,qtls_li_hq,0.6,Exponential,0.6966216514344731,0.057266631381339465,8022,9337.6958984375,11813
170,51,qtls_li_hq,0.6,Exponential,0.6916122940754573,0.05932411501192828,8030,9857.7703125,11807
171,52,qtls_li_hq,0.7,Exponential,0.6958243957025152,0.05656392663038264,5971,11462.995703125,13863
172,53,qtls_li_hq,0.7,Exponential,0.6784549920884033,0.05800628316239054,5864,11408.4181640625,13971
173,54,qtls_li_hq,0.7,Exponential,0.6925054111914571,0.05783734980992919,5918,11134.4689453125,13917
174,55,qtls_li_hq,0.8,Exponential,0.6879705606291725,0.060321565071741676,4011,12679.2103515625,15824
175,56,qtls_li_hq,0.8,Exponential,0.6870065631313348,0.05752157606874104,3978,13697.744921875,15856
176,57,qtls_li_hq,0.8,Exponential,0.7118595949966946,0.05450120304840702,3993,13825.63203125,15841
177,58,qtls_li_hq,0.9,Exponential,0.7201078978530061,0.05485031348589968,2004,15060.6962890625,17830
178,59,qtls_li_hq,0.9,Exponential,0.6670452943539981,0.05979491723504638,1917,15351.86640625,17917
179,60,qtls_li_hq,0.9,Exponential,0.6883855033024083,0.05861127173305231,2008,15300.6025390625,17828
180,1,qtls_li_hq,0.001,Connectedness,0.6014280138913773,0.061735944376129566,10001,22.49082717895508,23
181,2,qtls_li_hq,0.001,Connectedness,0.5509980204672611,0.07861958713658503,10004,9.905728340148926,13
182,3,qtls_li_hq,0.001,Connectedness,0.6078496284189652,0.08557695220740007,10001,16.268735885620117,20
183,4,qtls_li_hq,0.0025,Connectedness,0.5979479947501051,0.06729016513864218,10002,54.64387969970703,49
184,5,qtls_li_hq,0.0025,Connectedness,0.5866529565356465,0.07400593285399183,10002,48.67940216064453,47
185,6,qtls_li_hq,0.0025,Connectedness,0.6286152026560843,0.06870556548785182,10001,54.16477661132812,56
186,7,qtls_li_hq,0.005,Connectedness,0.6278383673127644,0.06611026297462726,10004,118.32564697265624,113
